depth_o,1,2,3,4,9
1,o_wins,draw,draw,draw,draw
2,o_wins,draw,draw,draw,draw
3,o_wins,draw,draw,draw,draw
4,o_wins,draw,draw,draw,draw
9,draw,draw,draw,o_wins,draw
