n_iterations,min,mean,std,max
1000,0.0279,0.0711,0.0218,0.1178
2000,0.0299,0.0513,0.0127,0.0772
5000,0.0206,0.0396,0.0112,0.0652
10000,0.0143,0.0278,0.0061,0.0436
20000,0.0094,0.0224,0.0069,0.0406
50000,0.0097,0.0153,0.0036,0.0236
