n_hidden,min,mean,std,max
1,0.0117,0.0117,0.0,0.0117
2,0.0014,0.0088,0.0033,0.0118
5,0.0004,0.0037,0.0026,0.0096
10,0.0004,0.002,0.001,0.0043
20,0.0002,0.0013,0.0006,0.0028
50,0.0003,0.0007,0.0003,0.0014
